#wavelength (nm), radius_ratio (rr), error of rr (+), error of rr (-)
2.750367213884709145e+03,1.482664739658051678e-01,4.167742361960879993e-03,4.289145757574053253e-03
2.751046122999946419e+03,1.480195761521162223e-01,4.391461463078116800e-03,4.161886815639725956e-03
2.751725029584090407e+03,1.499343082383883530e-01,3.585025293508625754e-03,4.101142616476205482e-03
2.752403933633589531e+03,1.520474083098924400e-01,3.397373740453513147e-03,4.009131113496100518e-03
2.753082835144925866e+03,1.506311928276168888e-01,3.897800422172387202e-03,4.018917311580272322e-03
2.753761734114611045e+03,1.526587660861027929e-01,2.727321944117261365e-03,4.206160068220776704e-03
2.754440630539133508e+03,1.477206534765281853e-01,3.066335688591437236e-03,4.664854081617320070e-03
2.755119524414926673e+03,1.409678830480451117e-01,4.154597589170055949e-03,4.085981521918580217e-03
2.755798415738528092e+03,1.485325831492925741e-01,3.990813290933564739e-03,3.395250958290546572e-03
2.756477304506436212e+03,1.493341960633474130e-01,3.032108877612071929e-03,4.406163017130343418e-03
2.757156190715126286e+03,1.484885522972535510e-01,3.330320950010207115e-03,3.126833135844664380e-03
2.757835074361077204e+03,1.482664373682405501e-01,3.295535727585008345e-03,3.192945372635758172e-03
2.758513955440826976e+03,1.415552946039290161e-01,3.443391039966103850e-03,3.440489082428249690e-03
2.759192833950879049e+03,1.437399659374490324e-01,3.065798775056194359e-03,3.467947192188819416e-03
2.759871709887685483e+03,1.513873232017060311e-01,3.065736244994093918e-03,3.188909284891711104e-03
2.760550583247794293e+03,1.499872735508836763e-01,3.020484227491543328e-03,3.183240138512927198e-03
2.761229454027723477e+03,1.515239831786884817e-01,3.147351896802763616e-03,2.637350490292400540e-03
2.761908322223964205e+03,1.466643579174609080e-01,2.886911573616701698e-03,3.037384387708175204e-03
2.762587187833010375e+03,1.471922966733203997e-01,2.729241581035074526e-03,3.862447791662698693e-03
2.763266050851415912e+03,1.493984380940448498e-01,3.311403495709991374e-03,2.848765766529093302e-03
2.763944911275701088e+03,1.469842298558219906e-01,2.596010842161627918e-03,3.350987487826834199e-03
2.764623769102332972e+03,1.505998858376121907e-01,3.123284758107552905e-03,2.639141261750854728e-03
2.765302624327875947e+03,1.525645627093221157e-01,2.907540699645355664e-03,3.166634753209385256e-03
2.765981476948864838e+03,1.519434220961324300e-01,2.561340222311581094e-03,3.515956051398511084e-03
2.766660326961802639e+03,1.489661416250266379e-01,3.575237873597925109e-03,2.687173979125073719e-03
2.767339174363205984e+03,1.494915503083658892e-01,2.655198202872216529e-03,3.181715115340266742e-03
2.768018019149641987e+03,1.499550119733062403e-01,2.819942290173627075e-03,2.211923620095285203e-03
2.768696861317645471e+03,1.473930543886235733e-01,3.054267615427125326e-03,2.714543502407268383e-03
2.769375700863693964e+03,1.508927107295733316e-01,2.331213463541370601e-03,3.061132017258993976e-03
2.770054537784380045e+03,1.485273389621548090e-01,3.219759898057922287e-03,2.670895215383911614e-03
2.770733372076249452e+03,1.482026895030545133e-01,2.501831068770943300e-03,2.373069659591386937e-03
2.771412203735809726e+03,1.464390441114064578e-01,2.803911873657333187e-03,2.105850345639981303e-03
2.772091032759612972e+03,1.476520638551740705e-01,2.601689454011762992e-03,2.932454150513241764e-03
2.772769859144233124e+03,1.509467402641782030e-01,2.270393685653321336e-03,2.660890620105382798e-03
2.773448682886209554e+03,1.498527998362321201e-01,2.479891645926213251e-03,2.798190806035577571e-03
2.774127503982054805e+03,1.470797694215739415e-01,2.031345525043054545e-03,3.072071206657395193e-03
2.774806322428372368e+03,1.521329400377619268e-01,2.803924298880544619e-03,1.887305445705644846e-03
2.775485138221719353e+03,1.515068450339867590e-01,2.296225976948840231e-03,3.078601781854733987e-03
2.776163951358605573e+03,1.516982252802471232e-01,2.431470821305986574e-03,1.889660870036863338e-03
2.776842761835626789e+03,1.493105087225748973e-01,2.169803245615359311e-03,2.599361266666572190e-03
2.777521569649361481e+03,1.481007945541408799e-01,2.395497574436744603e-03,2.369240634330443962e-03
2.778200374796345841e+03,1.524946333404317844e-01,2.507552047939343165e-03,2.130735169290187692e-03
2.778879177273140613e+03,1.462145769466721146e-01,2.653271391460737538e-03,2.413021059651992983e-03
2.779616795377290146e+03,1.521747576643737165e-01,2.547625710252410247e-03,1.924500423050951037e-03
2.780295595049289204e+03,1.510538863173052637e-01,2.409189082655860403e-03,1.940744199607019604e-03
2.780974392040225212e+03,1.528489553720415728e-01,2.109528831333473686e-03,2.041743629699499518e-03
2.781653186346664370e+03,1.475234545114979534e-01,2.369402545522647507e-03,2.115373343377913162e-03
2.782331977965142414e+03,1.499138828765491649e-01,2.276979232405246245e-03,2.460512762404221121e-03
2.783010766892294214e+03,1.434450311232755015e-01,2.247811423894990890e-03,2.398942272994558644e-03
2.783689553124703252e+03,1.506194323960412529e-01,2.005455965285174447e-03,2.212568647361079499e-03
2.784368336658902081e+03,1.494345290595996412e-01,2.482552677785992978e-03,2.330020079771510932e-03
2.785047117491521931e+03,1.509507160906171652e-01,1.656845972633325115e-03,2.624104162362028703e-03
2.785725895619164021e+03,1.529190708256346898e-01,1.875677271361286813e-03,2.501804120073114479e-03
2.786404671038384095e+03,1.482217325640017014e-01,2.382439239197703396e-03,1.697931395731211435e-03
2.787083443745784734e+03,1.476912969453921531e-01,2.035028018375767411e-03,2.512116063150382494e-03
2.787762213737993079e+03,1.476991778327415294e-01,2.168887745412878543e-03,2.141103305098396303e-03
